iter	Logloss
0	0.682401689
1	0.6734997207
2	0.6646034594
3	0.650525436
4	0.6412205933
5	0.6352842724
6	0.6288458599
7	0.6234116989
8	0.6163978325
9	0.6119202942
10	0.6075088682
11	0.604788721
12	0.6000005318
13	0.5974167104
14	0.5942780281
15	0.5902622865
16	0.5874162091
17	0.5848286333
18	0.5835073018
19	0.5814365378
20	0.5795650755
21	0.5756577774
22	0.5751856719
23	0.5725773458
24	0.5705873806
25	0.5677733618
26	0.5653055344
27	0.5622686799
28	0.5611990216
29	0.5585718074
30	0.556735056
31	0.5556136433
32	0.5537935355
33	0.5520859385
34	0.5504886236
35	0.5488563326
36	0.5480303213
37	0.5458639509
38	0.5442454033
39	0.5431361874
40	0.5423336931
41	0.5409053043
42	0.5395489507
43	0.5387525846
44	0.5380141201
45	0.5368419335
46	0.5353691774
47	0.532542138
48	0.5318738799
49	0.5299656339
50	0.5288768871
51	0.5281917282
52	0.5274931712
53	0.5269049377
54	0.5264345354
55	0.5258416951
56	0.5251727645
57	0.523989192
58	0.5230040172
59	0.5224082046
60	0.5216875271
61	0.519134647
62	0.5178509189
63	0.5170679026
64	0.5163830868
65	0.5157856342
66	0.5144746818
67	0.5135609649
68	0.5118359214
69	0.5102349632
70	0.5091052049
71	0.5082912673
72	0.5064643679
73	0.5053281726
74	0.5039586393
75	0.5022936764
76	0.5010133828
77	0.5002825047
78	0.4994112208
79	0.4982792057
80	0.4970887883
81	0.4963679998
82	0.4947775024
83	0.4942426184
84	0.4932156112
85	0.4922789268
86	0.4911938492
87	0.4901139521
88	0.4887405871
89	0.4880652874
90	0.4871791188
91	0.4862002078
92	0.4851139787
93	0.4839554747
94	0.4833212672
95	0.482830189
96	0.4818477125
97	0.4809884832
98	0.4801836632
99	0.4794528082
100	0.4785792277
101	0.4776820863
102	0.4769010716
103	0.4761041807
104	0.4753385584
105	0.4745148928
106	0.4734201199
107	0.472461314
108	0.4719352326
109	0.4711311486
110	0.4705812059
111	0.4696273426
112	0.4687548906
113	0.4679369995
114	0.466914562
115	0.4662796535
116	0.4652898183
117	0.4648625597
118	0.4643432298
119	0.4637873099
120	0.4634176665
121	0.4627685686
122	0.4622814797
123	0.4614312784
124	0.4608281192
125	0.4601596304
126	0.4595469296
127	0.4591620175
128	0.4587926773
129	0.4582682957
130	0.4580783821
131	0.4575116875
132	0.4568019262
133	0.4562801659
134	0.4558598284
135	0.4555495206
136	0.4549732494
137	0.4546130688
138	0.4540687251
139	0.4535867306
140	0.4531739968
141	0.4527693837
142	0.4523575932
143	0.451935654
144	0.4516706594
145	0.4513888214
146	0.4510240003
147	0.4506312851
148	0.4502477019
149	0.4498228435
150	0.4495656347
151	0.4492158259
152	0.4487808505
153	0.4484782924
154	0.4481186551
155	0.4478239537
156	0.4475577214
157	0.4471167442
158	0.4467733429
159	0.4463974555
160	0.4460559156
161	0.4458147808
162	0.4456223268
163	0.445420804
164	0.445239791
165	0.4448791981
166	0.444607515
167	0.444330244
168	0.444048407
169	0.4438077366
170	0.4435674376
171	0.4433761177
172	0.4431023131
173	0.44279376
174	0.4425048237
175	0.4421815831
176	0.4419967795
177	0.4417904179
178	0.4415729307
179	0.4413581066
180	0.4410315025
181	0.440772854
182	0.4404935178
183	0.4402723746
184	0.4399650366
185	0.4397978419
186	0.4395481288
187	0.4393139341
188	0.4391337958
189	0.4389833579
190	0.4387553082
191	0.4386587499
192	0.4384848106
193	0.4383391305
194	0.4380570686
195	0.4378989158
196	0.4376699069
197	0.4375730548
198	0.4373697999
199	0.4371998652
200	0.4370575782
201	0.436888644
202	0.4366636152
203	0.4365208429
204	0.4363027064
205	0.4361937744
206	0.4359597052
207	0.4358256357
208	0.4356615994
209	0.4355377396
210	0.4353644941
211	0.4352591638
212	0.4351317035
213	0.4349945007
214	0.434920769
215	0.4348074101
216	0.434649659
217	0.4344849815
218	0.434331926
219	0.4342515897
220	0.4340477869
221	0.4339244777
222	0.4337612408
223	0.4336254384
224	0.4334458049
225	0.4332767259
226	0.4331716115
227	0.4329944177
228	0.4329216253
229	0.4327540071
230	0.4325912084
231	0.4323873986
232	0.4322078423
233	0.432100387
234	0.4320096913
235	0.4318969197
236	0.4318253083
237	0.4316731922
238	0.4315621767
239	0.4314250869
240	0.4312883598
241	0.4311616236
242	0.4311196061
243	0.431038846
244	0.4308588196
245	0.4307308798
246	0.4306116729
247	0.4305257183
248	0.430425206
249	0.4303749231
250	0.4302719628
251	0.430191393
252	0.4300777637
253	0.4299984132
254	0.4298386847
255	0.4297008715
256	0.4296510102
257	0.4294954256
258	0.4293856423
259	0.4292689348
260	0.4291668893
261	0.4290669694
262	0.4289430972
263	0.428856563
264	0.4287929774
265	0.4286922073
266	0.4286141093
267	0.4284954571
268	0.428404971
269	0.4282792405
270	0.4281963392
271	0.4281100106
272	0.4280500335
273	0.4279613592
274	0.4278535704
275	0.4277384674
276	0.4276576084
277	0.4275975088
278	0.4274926604
279	0.4274438026
280	0.4273597343
281	0.427284941
282	0.4272282986
283	0.4271555183
284	0.4271037453
285	0.4270543302
286	0.4269938576
287	0.4269354399
288	0.4268610178
289	0.4267877272
290	0.4267269159
291	0.4266445621
292	0.4265597722
293	0.4265193703
294	0.4264397201
295	0.4263939532
