Date,HomeTeam,AwayTeam
18/01/2025,Club Brugge,Beerschot VA
18/01/2025,Dender,Cercle Brugge
18/01/2025,St Truiden,Standard
18/01/2025,St. Gilloise,Oud-Heverlee Leuven
25/01/2025,Beerschot VA,St. Gilloise
25/01/2025,Westerlo,Genk
25/01/2025,Charleroi,Cercle Brugge
25/01/2025,Oud-Heverlee Leuven,Gent
25/01/2025,Club Brugge,Kortrijk
25/01/2025,Standard,Dender
25/01/2025,St Truiden,Antwerp
25/01/2025,Anderlecht,Mechelen
01/02/2025,Gent,Anderlecht
01/02/2025,Genk,Beerschot VA
01/02/2025,St. Gilloise,St Truiden
01/02/2025,Kortrijk,Westerlo
01/02/2025,Antwerp,Club Brugge
01/02/2025,Cercle Brugge,Standard
01/02/2025,Charleroi,Dender
01/02/2025,Oud-Heverlee Leuven,Mechelen
08/02/2025,Westerlo,Standard
08/02/2025,Anderlecht,Antwerp
08/02/2025,Dender,St Truiden
08/02/2025,Club Brugge,Oud-Heverlee Leuven
08/02/2025,Beerschot VA,Charleroi
08/02/2025,Genk,Cercle Brugge
08/02/2025,Kortrijk,St. Gilloise
08/02/2025,Mechelen,Gent
15/02/2025,Antwerp,Kortrijk
15/02/2025,Gent,Beerschot VA
15/02/2025,Oud-Heverlee Leuven,Dender
15/02/2025,St Truiden,Club Brugge
15/02/2025,Standard,Genk
15/02/2025,Cercle Brugge,Westerlo
15/02/2025,St. Gilloise,Mechelen
15/02/2025,Charleroi,Anderlecht
22/02/2025,Dender,Beerschot VA
22/02/2025,Westerlo,Charleroi
22/02/2025,Kortrijk,Cercle Brugge
22/02/2025,Anderlecht,St. Gilloise
22/02/2025,Antwerp,Oud-Heverlee Leuven
22/02/2025,Genk,Gent
22/02/2025,Club Brugge,Standard
22/02/2025,Mechelen,St Truiden
01/03/2025,St. Gilloise,Dender
01/03/2025,Standard,Anderlecht
01/03/2025,Beerschot VA,Mechelen
01/03/2025,Charleroi,Genk
01/03/2025,Cercle Brugge,Antwerp
01/03/2025,Gent,Club Brugge
01/03/2025,Oud-Heverlee Leuven,Westerlo
01/03/2025,St Truiden,Kortrijk
08/03/2025,Dender,Genk
08/03/2025,Kortrijk,Oud-Heverlee Leuven
08/03/2025,St Truiden,Beerschot VA
08/03/2025,St. Gilloise,Standard
08/03/2025,Westerlo,Anderlecht
08/03/2025,Cercle Brugge,Club Brugge
08/03/2025,Antwerp,Gent
08/03/2025,Charleroi,Mechelen
15/03/2025,Standard,Antwerp
15/03/2025,Oud-Heverlee Leuven,St Truiden
15/03/2025,Club Brugge,Charleroi
15/03/2025,Beerschot VA,Westerlo
15/03/2025,Anderlecht,Cercle Brugge
15/03/2025,Genk,St. Gilloise
15/03/2025,Gent,Kortrijk
15/03/2025,Mechelen,Dender
