long_name,value_eur,club_name
Geoffry Hairemans,1500000.0,Mechelen
Hannes Van Der Bruggen,1600000.0,Cercle Brugge
Toni Leistner,1100000.0,Sint-Truiden
Dorian Dessoleil,1300000.0,Kortrijk
Gérald Valentin Kilota,1600000.0,RFC Seraing
Kristiyan Malinov,1400000.0,OH Leuven
Maxim De Cuyper,3000000.0,Westerlo
Anouar Ait El Hadj,3100000.0,Anderlecht
Raphael Onyedika Nwadike,3000000.0,Club Brugge
Kenny Rocha Santos,3100000.0,KV Oostende
Nick Bätzner,3100000.0,KV Oostende
Robbie D'Haese,2800000.0,KV Oostende
Jesper Daland,2600000.0,Cercle Brugge
Marko Ilić,2400000.0,Kortrijk
Gaëtan Coucke,1800000.0,Mechelen
Dimitri Dominique Lavalée,1900000.0,Mechelen
Samuel Marqus Lloyd Vines,2100000.0,Antwerp
Ángelo Smit Preciado Quiñónez,2100000.0,Genk
Dries Wouters,1900000.0,Mechelen
橋岡 大樹,2000000.0,Sint-Truiden
Jonas Valentin Bager,1700000.0,Sporting Charleroi
Alessio Da Cruz,2000000.0,Mechelen
Gilles Dewaele,1700000.0,Standard Liège
Lucas da Silva Izidoro,1800000.0,Westerlo
Antoine Rudy Bernier,1900000.0,RFC Seraing
Dillon Phillips,1300000.0,KV Oostende
Dinis da Costa Lima Almeida,1500000.0,Antwerp
Sandy Walsh,1500000.0,Mechelen
Sammy Andre Bossut,150000.0,Zulte-Waregem
Brecht Capon,500000.0,KV Oostende
Sébastien Dewaest,950000.0,Genk
Jacob Barrett Laursen,1300000.0,Standard Liège
Isaac Mbenza,1500000.0,Sporting Charleroi
シュミット・ダニエル,925000.0,Sint-Truiden
Antonio Eromonsele Nordby Nusa,3300000.0,Club Brugge
Björn Meijer,2700000.0,Club Brugge
Nicolás Federico Castro,3000000.0,Genk
Matías Alejandro Galarza,2900000.0,Genk
Olivier Deman,2700000.0,Cercle Brugge
Konan Ignace Jocelyn N’Dri,2700000.0,AS Eupen
Heitor Rodrigues Fonseca,2600000.0,Cercle Brugge
Abdelkahar Kadri,2700000.0,Kortrijk
Charles Vanhoutte,2500000.0,Cercle Brugge
Rubin Seigers,2200000.0,Westerlo
Thibo Somers,2400000.0,Cercle Brugge
Ahmed Nadir Benbouali,2500000.0,Sporting Charleroi
Nordin Jackers,1500000.0,OH Leuven
Jules Christ Eboue Kouassi,1800000.0,Genk
Stefan Knežević,1700000.0,Sporting Charleroi
Ross James Sykes,1700000.0,Union Saint-Gilloise
Samuel Yves Oum Gouet,1800000.0,Mechelen
Senna Malik Miangué,1600000.0,Cercle Brugge
Daan Heymans,1800000.0,Sporting Charleroi
Abdoulaye Sissako,1700000.0,Zulte-Waregem
Julien Fontaine Ngoy Bin Cibambi,1800000.0,Mechelen
Aboubakary Yeli Koita,1800000.0,Sint-Truiden
渡辺 剛,1600000.0,Kortrijk
Fanos Katelaris,1600000.0,KV Oostende
Ortwin De Wolf,1300000.0,Antwerp
Dennis-Yerai Eckert Ayensa,1700000.0,Union Saint-Gilloise
Vincent Edouard André Koziello,1600000.0,KV Oostende
Regan Evans Charles-Cook,1600000.0,AS Eupen
Louis Bostyn,1000000.0,Zulte-Waregem
Borja López Menéndez,1200000.0,Zulte-Waregem
Frank Thierry Boya,1300000.0,Sint-Truiden
Thibault Peyre,1100000.0,Mechelen
Boli Bolingoli-Mbombo,1300000.0,Mechelen
Soufiane Chakla Mrioued,1100000.0,OH Leuven
Faris Dominguere Jenny Haroun,240000.0,Antwerp
Timothy Derijck,325000.0,Zulte-Waregem
Lukas Van Eenoo,1000000.0,Westerlo
Daniel Tawiah Opare,875000.0,RFC Seraing
岡崎 慎司,400000.0,Sint-Truiden
Jorge Filipe Avelino Teixeira,325000.0,Sint-Truiden
James Alexander Jeggo,1000000.0,AS Eupen
Lucas Bijker,1100000.0,Mechelen
Tuur Dierckx,1300000.0,Westerlo
Kévin Vandendriessche,950000.0,Kortrijk
Daniel Ramírez Fernández,1200000.0,Zulte-Waregem
Luca Oyen,2600000.0,Genk
Nilson David Angulo Ramírez,2400000.0,Anderlecht
Ewoud Pletinckx,2100000.0,OH Leuven
Thomas Van Den Keybus,2300000.0,Westerlo
Marco Kana,2100000.0,Anderlecht
Youssouph Mamadou Badji,2300000.0,Sporting Charleroi
William Joel Pacho Tenorio,2100000.0,Antwerp
Simon Adingra,2200000.0,Union Saint-Gilloise
Jackson Tchatchoua,2200000.0,Sporting Charleroi
Abdoul Fessal Tapsoba,2300000.0,Standard Liège
Muhammed Gümüşkaya,2300000.0,Westerlo
Zechariah Joshua Henry Medley,2100000.0,KV Oostende
Guillaume Laurent Dietsch,2000000.0,RFC Seraing
Gnantin Yann Gboho,2300000.0,Cercle Brugge
Sambou Soumano,2300000.0,AS Eupen
Osher Davida,2300000.0,Standard Liège
Boris Lambert,2100000.0,AS Eupen
Pape Habib Guèye,2300000.0,Kortrijk
Anton Willy Tanghe,2100000.0,KV Oostende
Filippo Melegoni,2000000.0,Standard Liège
Jón Dagur Þorsteinsson,2100000.0,OH Leuven
Robbe Decostere,1900000.0,Cercle Brugge
Amine Benchaib,1600000.0,Kortrijk
홍현석 Hyeon Seok Hong,1600000.0,Gent
Denis Mihai Drăguş,1700000.0,Standard Liège
Loïc Anthony Bessile,1500000.0,Sporting Charleroi
David Robert Bates,1300000.0,Mechelen
Senne Lynen,1400000.0,Union Saint-Gilloise
Mathias Fixelles,1400000.0,Westerlo
Billal Messaoudi,1500000.0,Kortrijk
Sulayman Marreh,1200000.0,Gent
Iebe Swers,1200000.0,Mechelen
Eric Ocansey,1400000.0,Kortrijk
Valentin Alexandru Cojocaru,1000000.0,OH Leuven
Sérgio Emanuel Conceição,1200000.0,RFC Seraing
Laurent Claude Henkinet,775000.0,Standard Liège
Mory Konaté,975000.0,Sint-Truiden
Christophe Lepoint,200000.0,RFC Seraing
Davino Verhulst,170000.0,Antwerp
Kenny Steppe,325000.0,Sint-Truiden
Damien Marcq,500000.0,Sporting Charleroi
Yannick Thoelen,550000.0,Mechelen
Jason Davidson,750000.0,AS Eupen
Colin Coosemans,700000.0,Anderlecht
Pierre-Yves Raffaella Michel Lucien Ngawa,825000.0,OH Leuven
Lasse Vigen Christensen,1100000.0,Zulte-Waregem
Bruno Godeau,825000.0,Gent
Renaud Emond,1000000.0,Standard Liège
Felipe Nicolás Avenatti Dovillabichus,1000000.0,Kortrijk
Zeno Debast,1900000.0,Anderlecht
Dorgeles Nene,2000000.0,Westerlo
Ravil Tagir,1900000.0,Westerlo
Mamadou Sangare,2100000.0,Zulte-Waregem
Bart Verbruggen,1600000.0,Anderlecht
Habib Ali Keita,1900000.0,Kortrijk
Abdul Manaf Nurudeen,1600000.0,AS Eupen
Ken Nkuba Tshiend,1900000.0,Sporting Charleroi
Stelios Andreou,1700000.0,Sporting Charleroi
Ahoueke Steeve Kévin Denkey,1900000.0,Cercle Brugge
Bryan Reynolds,1800000.0,Westerlo
Victor Okoh Boniface,1900000.0,Union Saint-Gilloise
Lyle Brent Foster,1800000.0,Westerlo
Lennart Franklin Moser,1500000.0,AS Eupen
Fraser Hornby,1800000.0,KV Oostende
Théo Ndicka Matam,1600000.0,KV Oostende
Edgaras Utkus,1600000.0,Cercle Brugge
Sieben Dewaele,1200000.0,KV Oostende
Alessandro Albanese,1400000.0,KV Oostende
Jan Gorenc,1200000.0,AS Eupen
Hamza Mendyl,1200000.0,OH Leuven
Marlon Fossey,1200000.0,Standard Liège
Håkan Gustaf Nilsson,1200000.0,Union Saint-Gilloise
Morgan Paul Poaty,1100000.0,RFC Seraing
Thibault Vlietinck,1100000.0,OH Leuven
林 大地,1200000.0,Sint-Truiden
Warleson Stellion Lisboa Oliveira,925000.0,Cercle Brugge
David Atanga,1100000.0,KV Oostende
Nick Gillekens,800000.0,Westerlo
Lucas Frédéric Pirard,775000.0,Union Saint-Gilloise
Cameron Alexander McGeehan,975000.0,KV Oostende
David Boris Philippe Henen,1000000.0,Kortrijk
Dimitar Velkovski,900000.0,Cercle Brugge
Guillaume François,600000.0,Union Saint-Gilloise
Igor Mavuba Vetokele,850000.0,Westerlo
Edisson Jordanov,750000.0,Westerlo
Aleksandar Boljević,925000.0,Standard Liège
Darko Lemajić,875000.0,Gent
András Németh,1700000.0,Genk
Loubadhe Abakar Sylla,1600000.0,Club Brugge
Christopher Gavin Scott,1700000.0,Antwerp
Dylan Mbayo,1600000.0,Kortrijk
Isaac Nuhu,1600000.0,AS Eupen
Mandela Keita,1500000.0,OH Leuven
Ameen Al Dakhil,1500000.0,Sint-Truiden
Killian Sardella,1500000.0,Anderlecht
Alieu Fadera,1600000.0,Zulte-Waregem
Abu Francis,1600000.0,Cercle Brugge
Louis Patris,1500000.0,OH Leuven
Ján Bernát,1600000.0,Westerlo
Amirhossein Hosseinzadeh,1600000.0,Sporting Charleroi
Nicolas Martin Hautorp Madsen,1400000.0,Westerlo
Fatih Kaya,1500000.0,Sint-Truiden
Boris Popović,1300000.0,Cercle Brugge
Yonas Malede,1500000.0,Mechelen
Jérôme Déom,1100000.0,AS Eupen
Indy Boonen,1100000.0,KV Oostende
Abou-Malal Ba,1000000.0,RFC Seraing
Sami Lahssaini,1100000.0,RFC Seraing
Dylan Louis Ange Ouédraogo,975000.0,OH Leuven
Viktor Boone,975000.0,Union Saint-Gilloise
Bent Langåssve Sørmo,875000.0,Zulte-Waregem
Nicolas Rommens,825000.0,Zulte-Waregem
Wolke Johannes Janssens,775000.0,Sint-Truiden
Sébastien Bruzzese,230000.0,Cercle Brugge
Koen Van Langendonck,230000.0,Westerlo
Alexandre De Bruyn,725000.0,Kortrijk
Tom Vandenberghe,500000.0,Kortrijk
Mika Marcel Godts,1800000.0,Genk
Noah Mbamba,1500000.0,Club Brugge
Kristian Fredrik Malt Arnstad,1500000.0,Anderlecht
Cisse Sandra,1500000.0,Club Brugge
Joel Leandro Ordóñez Guerrero,1400000.0,Club Brugge
Ishaq Abdulrazak,1400000.0,Anderlecht
Senne Lammens,1100000.0,Club Brugge
田中 聡,1200000.0,Kortrijk
Daniel Alejandro Pérez Córdova,1300000.0,Club Brugge
Nayel Mehssatou Sepúlveda,1200000.0,Kortrijk
Aziz Outtara Mohammed,1200000.0,Genk
Lucas Jozef Lissens,1200000.0,Anderlecht
David Sousa Albino,1200000.0,Cercle Brugge
Kyan Vaesen,1300000.0,Westerlo
Oussama El Azzouzi,1200000.0,Union Saint-Gilloise
Alfons Amade,1200000.0,KV Oostende
Gary Magnée,1100000.0,AS Eupen
Alec Van Hoorenbeeck,875000.0,Mechelen
Eric Junior Bocat,875000.0,Sint-Truiden
Alioune Badou Ndour,925000.0,Zulte-Waregem
Stan Braem,925000.0,Zulte-Waregem
Marius Mouandilmadji,900000.0,RFC Seraing
William Balikwisha,875000.0,Standard Liège
Pierre Patron,625000.0,Sporting Charleroi
Junior Marsoni Sambu Mansoni,675000.0,RFC Seraing
Pietro Perdichizzi,550000.0,Westerlo
Jo Coppens,300000.0,Sint-Truiden
Malick Martin Fofana,1300000.0,Gent
Mario Stroeykens,1200000.0,Anderlecht
Bilal El Khannouss,1200000.0,Genk
Teddy Alloh,1100000.0,AS Eupen
Anthony Lenin Valencia Bajaña,1100000.0,Antwerp
Noah Ohio,1100000.0,Standard Liège
Siebe Wylin,1100000.0,KV Oostende
Tobe Leysen,900000.0,Genk
Jannes Van Hecke,1000000.0,Mechelen
Marvin Tshibuabua,975000.0,RFC Seraing
Jay-Dee Geusens,1000000.0,Genk
Ebeguowen Owen Otasowie,1000000.0,Club Brugge
Emilio Kehrer,1100000.0,Cercle Brugge
Dion De Neve,1100000.0,Kortrijk
Oleksiy Sych,1000000.0,Kortrijk
Mathieu Cachbach,1100000.0,RFC Seraing
Yentl Van Genechten,1000000.0,AS Eupen
Oleksandr Drambaev,1000000.0,Zulte-Waregem
Osaze Urhoghide,900000.0,KV Oostende
Sambou Sissoko,925000.0,Kortrijk
Jan Král,700000.0,AS Eupen
Arbnor Muja,750000.0,Antwerp
Erdon Daci,725000.0,Westerlo
Vágner José Dias Gonçalves,625000.0,RFC Seraing
Benjamin Kantie Karamoko,475000.0,Sporting Charleroi
Ravy Tsouka Dozi,500000.0,Zulte-Waregem
Martin Wasinski,875000.0,Sporting Charleroi
Novatus Miroshi Dismas,900000.0,Zulte-Waregem
Moussa N'Diaye,925000.0,Anderlecht
Modou Tambedou,875000.0,Zulte-Waregem
Garissone Innocent,775000.0,AS Eupen
Moustapha Mbow,825000.0,RFC Seraing
Santiago Ramos Mingo,825000.0,OH Leuven
Amadou Keita,875000.0,AS Eupen
Sibiry Keita,900000.0,AS Eupen
Simon Elisor,900000.0,RFC Seraing
Fábio Pereira Baptista,850000.0,Sint-Truiden
Leroy Abanda Mfomo,775000.0,RFC Seraing
Sandro Trémoulet,750000.0,RFC Seraing
Sambou Sissoko,575000.0,RFC Seraing
João Pedro Eira Antunes da Silva,575000.0,Kortrijk
Isaac David Christie-Davies,600000.0,AS Eupen
Mamoutou N'Diaye,275000.0,Westerlo
Stève Regis Mvoué,850000.0,RFC Seraing
Djeidi Gassama,825000.0,AS Eupen
Nathan Bitumazala,750000.0,AS Eupen
Nathan Ngoy,750000.0,Standard Liège
Alexandro Calut,750000.0,Standard Liège
Lennert Hallaert,775000.0,Zulte-Waregem
Mahamadou Dembélé,675000.0,RFC Seraing
Aske Sampers,750000.0,Cercle Brugge
Jordy Schelfhout,650000.0,KV Oostende
Stan Van Dessel,725000.0,Sint-Truiden
Abdoulaye Sylla,625000.0,RFC Seraing
Bruny Nsimba,675000.0,Antwerp
Jonah Osabutey,525000.0,Kortrijk
Francesco D'Onofrio,240000.0,RFC Seraing
Noah Sadiki,650000.0,Anderlecht
Cihan Çanak,625000.0,Standard Liège
Aleksander Buksa,650000.0,OH Leuven
Arnaud Dony,550000.0,Union Saint-Gilloise
Dylan Demuynck,575000.0,Zulte-Waregem
Kelvin John,600000.0,Genk
Youssuf Sylla,600000.0,Zulte-Waregem
Bas Van Den Eynden,500000.0,Mechelen
Rune Paeshuyse,525000.0,AS Eupen
John Mayanga Nekadio,500000.0,Standard Liège
Rik Robert Vercauteren,475000.0,Anderlecht
Jorge Hernandez,550000.0,Mechelen
Louis Torres,525000.0,Cercle Brugge
Nachon Nsingi,550000.0,OH Leuven
Valentin Guillaume,550000.0,RFC Seraing
Lucas Larade,350000.0,Cercle Brugge
Milan Robberechts,575000.0,Mechelen
Anthony Kevin Descotte,525000.0,Sporting Charleroi
Matisse Didden,525000.0,Genk
Tyreek Magee,500000.0,AS Eupen
Celestin De Schrevel,425000.0,Gent
Chinonso Offor Nnamdi,500000.0,Zulte-Waregem
Dapo Mebude,500000.0,KV Oostende
Mohamed Berte,500000.0,KV Oostende
Christiaan Ravych,450000.0,Cercle Brugge
Timothy Martin,450000.0,RFC Seraing
Timothy Galjé,450000.0,RFC Seraing
Laurit Krasniqi,475000.0,Antwerp
Ibrahim Salah,500000.0,Gent
Lucas Noubi Ngnokam,475000.0,Standard Liège
Adnane Abid,525000.0,Genk
Xander Martlé,525000.0,Cercle Brugge
Ilyas Lefrancq,525000.0,Mechelen
Cheikh Ahadou Tidiane Thiam,475000.0,Zulte-Waregem
Griffin McDorman Yow,475000.0,Westerlo
Zeno Van Den Bosch,450000.0,Antwerp
Andy Musayev,475000.0,KV Oostende
Louis Fortin,375000.0,Gent
Dario Oger,450000.0,AS Eupen
Olivier Dumont,450000.0,Sint-Truiden
Oregan Ravet,375000.0,OH Leuven
Tom Roufosse,400000.0,AS Eupen
Ejaita Ifoni,425000.0,RFC Seraing
Manuel Osifo,400000.0,KV Oostende
Sef Van Damme,350000.0,Zulte-Waregem
Joachim Imbrechts,300000.0,Union Saint-Gilloise
Wout Didier De Buyser,350000.0,Zulte-Waregem
Rayane Falchou,350000.0,Mechelen
Mohamed Salah El Boukammiri,350000.0,Union Saint-Gilloise
Martin Delavallée,300000.0,Sporting Charleroi
Robbie Van Hauter,325000.0,Gent
Mathias Delorge-Knieper,325000.0,Sint-Truiden
Mehdi Boukamir,275000.0,Sporting Charleroi
Martijn Beernaert,250000.0,Zulte-Waregem
Zakaria Silini,300000.0,RFC Seraing
Matte Smets,250000.0,Sint-Truiden
Dirk Asare,250000.0,Mechelen
Matteo Chiacig,240000.0,Sporting Charleroi
Noah De Ridder,190000.0,Gent
Andréa Librici,160000.0,Sint-Truiden
Simon Luc Hildebert Mignolet,7000000.0,Club Brugge
Radja Nainggolan,13000000.0,Antwerp
Paul Ebere Onuachu,20500000.0,Genk
Noa Noëll Lang,28500000.0,Club Brugge
Ruud Willem Vormer,8500000.0,Club Brugge
Hans Vanaken,14000000.0,Club Brugge
Clinton Mukoni Mata Pedro Lourenço,12500000.0,Club Brugge
Christ-Emmanuel Faitout Maouassa,13500000.0,Club Brugge
Théo Bongonda Mbul'Ofeko Batombo,13000000.0,Genk
Bas Leon Dost,8500000.0,Club Brugge
伊东 纯也,10500000.0,Genk
Wesley Moraes Ferreira da Silva,11000000.0,Club Brugge
Daniel Muñoz Mejía,9500000.0,Genk
Hendrik Van Crombrugge,6500000.0,Anderlecht
Mats Rits,7500000.0,Club Brugge
Brandon Mechele,7000000.0,Club Brugge
Charles De Ketelaere,12500000.0,Club Brugge
Bryan Heynen,8500000.0,Genk
Michael Amir Murillo Bermudez,7000000.0,Anderlecht
Mats Kristoffer Olsson,7000000.0,Anderlecht
Eduard Sobol,6500000.0,Club Brugge
Wesley Theodorus Hoedt,6000000.0,Anderlecht
Éder Fabián Álvarez Balanta,5500000.0,Club Brugge
Lior Refaelov,2400000.0,Anderlecht
Vadis Odjidja-Ofoe,4400000.0,Gent
Ritchie Ria Alfons De Laet,3600000.0,Antwerp
Jhon Janer Lucumí Bonilla,8500000.0,Genk
Idrissa Doumbia,6500000.0,Zulte-Waregem
Christian Michael Kouamé Kouakou,6500000.0,Anderlecht
Alessio Castro-Montes,6000000.0,Gent
Aurélio Gabriel Ulineia Buta,5500000.0,Antwerp
Smail Prevljak,5500000.0,AS Eupen
Ali Gholizadeh,5500000.0,Sporting Charleroi
Joris Kayembe Ditu,4500000.0,Sporting Charleroi
Xavier Mercier,3500000.0,OH Leuven
Mbwana Ally Samatta,4300000.0,Antwerp
森岡 弘良太,4000000.0,Sporting Charleroi
Konstantinos Laifis,3600000.0,Standard Liège
Patrik Hrošovský,4100000.0,Genk
Yari Verschaeren,6500000.0,Anderlecht
Gerardo Daniel Arteaga Zamora,6000000.0,Genk
Arnaud Bodart,3900000.0,Standard Liège
Samuel Christopher Bastien,4600000.0,Standard Liège
Selim Amallah,4600000.0,Standard Liège
Hervé Kouakou Koffi,3700000.0,Sporting Charleroi
三笘 薫,4600000.0,Union Saint-Gilloise
Marco Ilaimaharitra,3800000.0,Sporting Charleroi
Björn Engels,3300000.0,Antwerp
Nicolas Gavory,3500000.0,Standard Liège
Andrew Hjulsager,3800000.0,Gent
Federico Ricca Rostagnol,3500000.0,Club Brugge
Abdoulaye Seck,2800000.0,Antwerp
Sinan Bolat,1500000.0,Gent
Sven Kums,1900000.0,Gent
Gianni Bruno,3000000.0,Gent
Raphael Holzhauser,3100000.0,Beerschot
Roman Bezus,2900000.0,Gent
Stef Peeters,3000000.0,AS Eupen
Dorian Dessoleil,2600000.0,Antwerp
Gojko Cimirot,2700000.0,Standard Liège
Michael Ngadeu-Ngadjui,2500000.0,Gent
Liberato Gianpaolo Cacace,4900000.0,Sint-Truiden
Carlos Eccehomo Cuesta Figueroa,4900000.0,Genk
Mike Trésor Ndayishimiye,5500000.0,Genk
Kristian Thorstvedt,4800000.0,Genk
Johannes Eggestein,3700000.0,Antwerp
三好 康児,3600000.0,Antwerp
Maxime Vincent D'Arpino,3100000.0,KV Oostende
Elisha Owusu,3200000.0,Gent
João Klauss de Mello,3600000.0,Standard Liège
Siebe Schrijvers,3400000.0,OH Leuven
Thomas Didillon,2600000.0,Cercle Brugge
Jean Butez,2500000.0,Antwerp
鈴木 優磨,3300000.0,Sint-Truiden
Benito Raman,3100000.0,Anderlecht
Birger Danny Verstraete,2700000.0,Antwerp
Bart Nieuwkoop,2900000.0,Union Saint-Gilloise
Joshua Jon Cullen,2800000.0,Anderlecht
Pieter Gerkens,2900000.0,Antwerp
Nikola Storm,2800000.0,Mechelen
Waldo Rubio Martín,2800000.0,Cercle Brugge
Mehdi Carcela-González,1900000.0,Standard Liège
Sébastien Dewaest,1900000.0,OH Leuven
Maxime Kristof Lestienne,2300000.0,Standard Liège
Trent Lucas Sainsbury,2000000.0,Kortrijk
Isaac Kiese Thelin,2300000.0,Anderlecht
Michael Frey,2600000.0,Antwerp
José Heriberto Izquierdo Mena,2400000.0,Club Brugge
Simen Kristiansen Juklerød,2500000.0,Genk
Tarik Tissoudali,2400000.0,Gent
Maarten Vandevoordt,4300000.0,Genk
Nicolas Thierry Raskin,4500000.0,Standard Liège
Mujaid Sadick Aliu,3900000.0,Genk
Jelle Bataille,4000000.0,Antwerp
Iké Dominique Ugbo,3800000.0,Genk
Carel Willem Hendrik Eiting,3700000.0,Genk
Hannes Delcroix,3500000.0,Anderlecht
Joseph Martin Paintsil,3800000.0,Genk
Majeed Ashimeru,3700000.0,Anderlecht
Andreas Schjølberg Hanche-Olsen,2600000.0,Gent
Jules Van Cleemput,2600000.0,Sporting Charleroi
Casper De Norre,2600000.0,OH Leuven
Shamar Amaro Nicholson,2900000.0,Sporting Charleroi
Joseph Stanley Okumu,2600000.0,Gent
Bogdan Vasylyovych Mykhaylichenko,2500000.0,Anderlecht
Robert Bauer,2300000.0,Sint-Truiden
Matej Mitrović,2100000.0,Club Brugge
Dino Hotić,2500000.0,Cercle Brugge
Davy Roef,1700000.0,Gent
Julien Ariel De Sart,2300000.0,Gent
Rob Schoofs,2100000.0,Mechelen
Lisandro Magallán,1900000.0,Anderlecht
Abdallah Kerim Mrabti,2200000.0,Mechelen
Faïz Selemani,2200000.0,Kortrijk
Ilombé Mboyo,900000.0,Gent
Joachim Marc Van Damme,1600000.0,Mechelen
Kristof D'Haene,1400000.0,Kortrijk
Viktor Gorridsen Fischer,2000000.0,Antwerp
Toni Leistner,1500000.0,Sint-Truiden
Laurent Depoitre,1500000.0,Gent
Kaveh Rezaei,1900000.0,OH Leuven
Alhassan Yusuf Abdullahi,3600000.0,Antwerp
Michel Ange Balikwisha,3800000.0,Antwerp
Mark Alexander McKenzie,3700000.0,Genk
Francis Apelete Amuzu,3600000.0,Anderlecht
Kamal Sowah,3600000.0,Club Brugge
Ante Palaversa,3600000.0,Kortrijk
Jackson Muleka Kyanvubu,3600000.0,Standard Liège
Robbie D'Haese,3200000.0,KV Oostende
Jordi Vanlerberghe,2200000.0,Mechelen
Stanley Pierre N,2300000.0,Club Brugge
Benson Manuel Hedilazio,2400000.0,Antwerp
Vincent Edouard André Koziello,2300000.0,KV Oostende
Alexis François De Sart,2400000.0,OH Leuven
Dante Vanzeir,2400000.0,Union Saint-Gilloise
Merveille Bopé Bokadi,2100000.0,Standard Liège
Karlo Letica,1900000.0,Club Brugge
Makhtar Gueye,2400000.0,KV Oostende
Omar Nicolás Govea García,2200000.0,Zulte-Waregem
Rúnar Alex Rúnarsson,1700000.0,OH Leuven
Alessandro Ciranni,2100000.0,Zulte-Waregem
Núrio Domingos Matias Fortuna,1800000.0,Gent
Kristiyan Malinov,1800000.0,OH Leuven
Jan Van den Bergh,1800000.0,Beerschot
Jean-Luc Mamadou Diarra Dompé,1900000.0,Zulte-Waregem
Sammy Andre Bossut,180000.0,Zulte-Waregem
Faris Dominguere Jenny Haroun,450000.0,Antwerp
Guillaume Olivier Gillet,325000.0,Sporting Charleroi
Jelle Vossen,1300000.0,Zulte-Waregem
Nill De Pauw,1300000.0,Antwerp
Joren Dom,1200000.0,Beerschot
Geoffry Hairemans,1600000.0,Mechelen
Jordi Amat Maas,1300000.0,AS Eupen
Steeven Willems,1300000.0,Sporting Charleroi
Ibrahima Khaliloulah Seck,1100000.0,Zulte-Waregem
Steven Fortès,1300000.0,KV Oostende
Collins Ngoran Suiru Fai,1400000.0,Standard Liège
铃木 武藏,1700000.0,Beerschot
Mamadou Fall,1600000.0,Sporting Charleroi
Anouar Ait El Hadj,3300000.0,Anderlecht
Hugo Siquet,3100000.0,Standard Liège
Rabbi Matondo,3400000.0,Cercle Brugge
Ismaila Cheick Coulibaly,3000000.0,Beerschot
Adem Zorgane,3100000.0,Sporting Charleroi
Aron Leonard Dønnum,3100000.0,Standard Liège
Bastien Toma,3100000.0,Genk
Giorgi Chakvetadze,3100000.0,Gent
Sergio Gómez Martín,3100000.0,Anderlecht
Nick Bätzner,3100000.0,KV Oostende
Thibault De Smet,3000000.0,Beerschot
Edo Kayembe,2900000.0,AS Eupen
Aboubakary Yeli Koita,2800000.0,Sint-Truiden
Abdoulaye Sissako,2000000.0,Zulte-Waregem
Frank Thierry Boya,2000000.0,Zulte-Waregem
Ángelo Smit Preciado Quiñónez,2100000.0,Genk
Mousa Mohammad Mousa Sulaiman Al-Tamari,2200000.0,OH Leuven
Chris Vianney Bedia,2100000.0,Sporting Charleroi
Ortwin De Wolf,1700000.0,Antwerp
Marius Noubissi,2100000.0,Beerschot
Gustav Per Fredrik Engvall,2000000.0,Mechelen
Gilles Dewaele,1800000.0,Kortrijk
Jack Hendry,1700000.0,Club Brugge
Deniz Undav,2000000.0,Union Saint-Gilloise
Guillaume Hubert,1400000.0,KV Oostende
Sandy Walsh,1600000.0,Mechelen
Aleksandar Boljević,1700000.0,Standard Liège
Mathieu Maertens,1700000.0,OH Leuven
Noë Dussenne,1300000.0,Standard Liège
Lasse Vigen Christensen,1600000.0,Zulte-Waregem
Casper Mørup Nielsen,1600000.0,Union Saint-Gilloise
シュミット・ダニエル,1100000.0,Sint-Truiden
Teddy Teuma,1600000.0,Union Saint-Gilloise
Igor Alberto Rinck de Camargo,475000.0,Mechelen
Timothy Derijck,450000.0,Kortrijk
Mike Vanhamel,750000.0,Beerschot
Anthony Christian Moris,750000.0,Union Saint-Gilloise
Jens Cools,1200000.0,AS Eupen
Hannes Van Der Bruggen,1400000.0,Cercle Brugge
Rachid Alioui,1400000.0,Kortrijk
Ryan Sanusi,1400000.0,Beerschot
Felipe Nicolás Avenatti Dovillabichus,1400000.0,Union Saint-Gilloise
Kévin Vandendriessche,1100000.0,Kortrijk
Barnabás Bese,1300000.0,OH Leuven
Joshua Orobosa Zirkzee,2900000.0,Anderlecht
Konan Ignace Jocelyn N’Dri,2600000.0,AS Eupen
Moussa Sissako,2500000.0,Standard Liège
Anass Zaroury,2700000.0,Sporting Charleroi
Derek Germano Kutesa,2700000.0,Zulte-Waregem
Kenny Rocha Santos,2700000.0,KV Oostende
Victor Alexander da Silva,2600000.0,Cercle Brugge
Georges Mikautadze,2700000.0,RFC Seraing
Stefan Knežević,2500000.0,Sporting Charleroi
Franck Elimane Kanouté,2600000.0,Cercle Brugge
Anton Willy Tanghe,2500000.0,KV Oostende
Leonardo Adelino da Silva Lopes,2400000.0,Cercle Brugge
橋岡 大樹,2300000.0,Sint-Truiden
Emmanuel Elysee Djedje Agbadou,2200000.0,AS Eupen
Thierry Ambrose,1900000.0,KV Oostende
Hugo Cuypers,1800000.0,Mechelen
Eric Ocansey,1800000.0,Kortrijk
Julien Fontaine Ngoy Bin Cibambi,1800000.0,AS Eupen
Ferdy Druijf,1800000.0,Mechelen
Vakoun Issouf Bayo,1800000.0,Gent
Sulayman Marreh,1500000.0,Gent
Marlos Moreno Durán,1700000.0,Kortrijk
Joost van Aken,1400000.0,Zulte-Waregem
Jesse Tamunobaraboye Sekidika,1600000.0,OH Leuven
Louis Bostyn,1100000.0,Zulte-Waregem
Soufiane Chakla Mrioued,1300000.0,OH Leuven
Nana Opoku Ampomah,1500000.0,Antwerp
