Team,FTHG_last_away_20,FTAG_last_away_20,HTHG_last_away_20,HTAG_last_away_20,HS_last_away_20,AS_last_away_20,HST_last_away_20,AST_last_away_20,HF_last_away_20,AF_last_away_20,HC_last_away_20,AC_last_away_20,HY_last_away_20,AY_last_away_20,HR_last_away_20,AR_last_away_20,Loose_last_away_20,Draw_last_away_20,Win_last_away_20,FTHG_last_away_10,FTAG_last_away_10,HTHG_last_away_10,HTAG_last_away_10,HS_last_away_10,AS_last_away_10,HST_last_away_10,AST_last_away_10,HF_last_away_10,AF_last_away_10,HC_last_away_10,AC_last_away_10,HY_last_away_10,AY_last_away_10,HR_last_away_10,AR_last_away_10,Loose_last_away_10,Draw_last_away_10,Win_last_away_10,FTHG_last_away_5,FTAG_last_away_5,HTHG_last_away_5,HTAG_last_away_5,HS_last_away_5,AS_last_away_5,HST_last_away_5,AST_last_away_5,HF_last_away_5,AF_last_away_5,HC_last_away_5,AC_last_away_5,HY_last_away_5,AY_last_away_5,HR_last_away_5,AR_last_away_5,Loose_last_away_5,Draw_last_away_5,Win_last_away_5,FTHG_last_home_20,FTAG_last_home_20,HTHG_last_home_20,HTAG_last_home_20,HS_last_home_20,AS_last_home_20,HST_last_home_20,AST_last_home_20,HF_last_home_20,AF_last_home_20,HC_last_home_20,AC_last_home_20,HY_last_home_20,AY_last_home_20,HR_last_home_20,AR_last_home_20,Loose_last_home_20,Draw_last_home_20,Win_last_home_20,FTHG_last_home_10,FTAG_last_home_10,HTHG_last_home_10,HTAG_last_home_10,HS_last_home_10,AS_last_home_10,HST_last_home_10,AST_last_home_10,HF_last_home_10,AF_last_home_10,HC_last_home_10,AC_last_home_10,HY_last_home_10,AY_last_home_10,HR_last_home_10,AR_last_home_10,Loose_last_home_10,Draw_last_home_10,Win_last_home_10,FTHG_last_home_5,FTAG_last_home_5,HTHG_last_home_5,HTAG_last_home_5,HS_last_home_5,AS_last_home_5,HST_last_home_5,AST_last_home_5,HF_last_home_5,AF_last_home_5,HC_last_home_5,AC_last_home_5,HY_last_home_5,AY_last_home_5,HR_last_home_5,AR_last_home_5,Loose_last_home_5,Draw_last_home_5,Win_last_home_5
Kortrijk,1.1153846153846154,1.5769230769230769,0.4230769230769231,0.6153846153846154,13.0,12.307692307692308,4.3076923076923075,4.769230769230769,11.5,12.5,5.846153846153846,5.076923076923077,2.1923076923076925,2.076923076923077,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.3076923076923077,1.1,1.4,0.5,0.8,13.1,11.0,4.5,3.9,10.4,12.5,7.2,4.5,1.6,1.8,0.0,0.2,0.5,0.1,0.4,1.0,1.2,0.4,0.8,17.0,9.2,5.8,3.0,10.6,10.8,9.4,3.4,2.0,2.2,0.0,0.4,0.4,0.2,0.4,0.95,1.55,0.4,0.65,12.55,12.75,4.15,4.65,10.6,12.65,5.9,5.5,2.15,1.85,0.1,0.15,0.5,0.2,0.3,1.1,1.4,0.5,0.8,13.1,11.0,4.5,3.9,10.4,12.5,7.2,4.5,1.6,1.8,0.0,0.2,0.5,0.1,0.4,1.0,1.2,0.4,0.8,17.0,9.2,5.8,3.0,10.6,10.8,9.4,3.4,2.0,2.2,0.0,0.4,0.4,0.2,0.4
Mechelen,2.0,1.5357142857142858,0.9285714285714286,0.6428571428571429,15.214285714285714,13.535714285714286,5.928571428571429,4.357142857142857,9.964285714285714,10.964285714285714,6.214285714285714,4.428571428571429,1.2857142857142858,1.75,0.07142857142857142,0.21428571428571427,0.32142857142857145,0.17857142857142858,0.5,2.7,2.1,1.2,1.1,15.6,15.0,6.4,5.5,9.5,10.0,6.1,4.5,1.4,1.6,0.0,0.1,0.4,0.0,0.6,2.6,3.0,1.6,1.8,16.0,14.2,7.4,6.4,10.8,10.4,6.4,5.0,2.0,1.6,0.0,0.0,0.6,0.0,0.4,1.9,1.55,0.7,0.85,15.4,14.55,5.95,4.6,9.6,9.75,6.0,4.65,1.55,1.8,0.0,0.2,0.35,0.2,0.45,2.7,2.1,1.2,1.1,15.6,15.0,6.4,5.5,9.5,10.0,6.1,4.5,1.4,1.6,0.0,0.1,0.4,0.0,0.6,2.6,3.0,1.6,1.8,16.0,14.2,7.4,6.4,10.8,10.4,6.4,5.0,2.0,1.6,0.0,0.0,0.6,0.0,0.4
Mouscron,1.0,0.5,0.0,0.0,12.0,8.0,5.0,2.5,13.0,12.0,7.0,4.0,3.5,2.0,0.0,0.0,0.0,0.5,0.5,1.3,1.4,0.4,0.5,12.9,13.1,4.7,4.7,14.9,10.9,5.6,6.0,2.5,1.4,0.1,0.2,0.4,0.3,0.3,0.8,1.8,0.2,0.8,11.6,15.4,3.2,5.6,14.0,10.4,5.8,7.0,2.4,1.2,0.2,0.2,0.8,0.0,0.2,1.05,1.2,0.3,0.45,11.2,12.65,4.2,4.45,13.25,11.3,5.1,5.4,2.4,1.55,0.05,0.1,0.45,0.25,0.3,1.3,1.4,0.4,0.5,12.9,13.1,4.7,4.7,14.9,10.9,5.6,6.0,2.5,1.4,0.1,0.2,0.4,0.3,0.3,0.8,1.8,0.2,0.8,11.6,15.4,3.2,5.6,14.0,10.4,5.8,7.0,2.4,1.2,0.2,0.2,0.8,0.0,0.2
Oostende,1.8333333333333333,1.3333333333333333,0.8333333333333334,0.6666666666666666,15.0,8.166666666666666,5.5,3.6666666666666665,14.0,13.833333333333334,5.666666666666667,3.1666666666666665,2.8333333333333335,2.1666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,1.0,1.9,0.4,1.2,15.5,10.4,5.4,4.4,12.5,12.9,5.7,4.7,2.3,1.5,0.3,0.1,0.7,0.1,0.2,1.0,1.8,0.4,1.2,16.0,11.6,6.2,4.6,9.8,9.8,6.2,5.2,1.4,1.0,0.2,0.0,0.6,0.2,0.2,1.05,1.9,0.55,1.05,13.3,10.75,4.85,4.5,11.8,12.6,5.1,5.0,2.1,1.8,0.3,0.05,0.6,0.15,0.25,1.0,1.9,0.4,1.2,15.5,10.4,5.4,4.4,12.5,12.9,5.7,4.7,2.3,1.5,0.3,0.1,0.7,0.1,0.2,1.0,1.8,0.4,1.2,16.0,11.6,6.2,4.6,9.8,9.8,6.2,5.2,1.4,1.0,0.2,0.0,0.6,0.2,0.2
Oud-Heverlee Leuven,1.7037037037037037,1.0,0.7777777777777778,0.4444444444444444,13.62962962962963,12.074074074074074,5.037037037037037,4.2592592592592595,11.148148148148149,13.25925925925926,5.666666666666667,4.555555555555555,2.2962962962962963,3.111111111111111,0.14814814814814814,0.1111111111111111,0.3333333333333333,0.14814814814814814,0.5185185185185185,1.6,1.1,0.6,0.7,13.5,11.7,5.0,4.1,10.5,12.4,4.4,5.2,2.5,2.7,0.3,0.1,0.3,0.1,0.6,2.0,1.0,0.8,0.8,12.4,12.4,5.0,4.0,10.8,14.2,4.8,4.8,2.8,2.8,0.6,0.0,0.2,0.2,0.6,1.45,1.05,0.65,0.5,12.5,12.7,4.2,4.0,10.95,12.95,5.05,5.4,2.55,3.0,0.15,0.1,0.35,0.2,0.45,1.6,1.1,0.6,0.7,13.5,11.7,5.0,4.1,10.5,12.4,4.4,5.2,2.5,2.7,0.3,0.1,0.3,0.1,0.6,2.0,1.0,0.8,0.8,12.4,12.4,5.0,4.0,10.8,14.2,4.8,4.8,2.8,2.8,0.6,0.0,0.2,0.2,0.6
RWD Molenbeek,1.125,1.8125,0.5625,1.3125,9.9375,12.25,4.1875,5.3125,11.6875,10.125,4.25,4.8125,1.8125,2.0625,0.0625,0.0,0.4375,0.375,0.1875,1.1,2.2,0.4,1.6,9.9,11.4,3.7,4.9,12.4,10.3,4.2,4.5,1.6,2.1,0.1,0.0,0.6,0.2,0.2,1.0,1.8,0.4,1.8,12.0,10.0,4.0,3.8,11.6,10.0,5.2,4.6,1.2,2.0,0.0,0.0,0.6,0.2,0.2,1.0555555555555556,1.8333333333333333,0.5,1.3333333333333333,10.38888888888889,12.944444444444445,4.388888888888889,5.5,11.666666666666666,10.222222222222221,4.277777777777778,4.833333333333333,1.8333333333333333,1.8888888888888888,0.05555555555555555,0.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,1.1,2.2,0.4,1.6,9.9,11.4,3.7,4.9,12.4,10.3,4.2,4.5,1.6,2.1,0.1,0.0,0.6,0.2,0.2,1.0,1.8,0.4,1.8,12.0,10.0,4.0,3.8,11.6,10.0,5.2,4.6,1.2,2.0,0.0,0.0,0.6,0.2,0.2
Seraing,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,11.0,13.0,2.6666666666666665,3.0,13.0,11.333333333333334,4.0,8.333333333333334,2.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6,1.7,0.4,0.8,8.2,14.8,2.0,4.3,12.2,13.1,4.4,7.6,2.9,1.1,0.3,0.1,0.6,0.3,0.1,0.4,2.2,0.2,1.2,7.4,13.8,1.4,4.6,12.6,12.0,4.2,6.4,2.4,1.4,0.4,0.2,0.6,0.4,0.0,0.45,1.85,0.2,0.7,8.85,13.45,2.25,4.2,11.95,12.5,4.05,6.05,2.55,1.5,0.4,0.1,0.7,0.25,0.05,0.6,1.7,0.4,0.8,8.2,14.8,2.0,4.3,12.2,13.1,4.4,7.6,2.9,1.1,0.3,0.1,0.6,0.3,0.1,0.4,2.2,0.2,1.2,7.4,13.8,1.4,4.6,12.6,12.0,4.2,6.4,2.4,1.4,0.4,0.2,0.6,0.4,0.0
St Truiden,1.6153846153846154,1.1923076923076923,0.7307692307692307,0.6153846153846154,13.576923076923077,10.76923076923077,5.153846153846154,3.923076923076923,9.115384615384615,10.807692307692308,5.3076923076923075,3.8461538461538463,1.3076923076923077,1.5384615384615385,0.038461538461538464,0.19230769230769232,0.15384615384615385,0.34615384615384615,0.5,1.5,1.5,0.7,0.9,11.5,13.4,4.1,5.3,9.3,9.8,4.1,4.0,1.4,1.3,0.1,0.0,0.2,0.4,0.4,1.4,1.8,0.8,1.2,8.0,11.6,2.8,4.4,9.2,9.6,2.6,4.0,1.4,1.0,0.2,0.0,0.2,0.6,0.2,1.45,1.25,0.6,0.7,13.4,10.9,4.95,4.05,8.35,10.7,4.9,3.8,1.15,1.5,0.05,0.2,0.15,0.4,0.45,1.5,1.5,0.7,0.9,11.5,13.4,4.1,5.3,9.3,9.8,4.1,4.0,1.4,1.3,0.1,0.0,0.2,0.4,0.4,1.4,1.8,0.8,1.2,8.0,11.6,2.8,4.4,9.2,9.6,2.6,4.0,1.4,1.0,0.2,0.0,0.2,0.6,0.2
St. Gilloise,2.0,0.9166666666666666,1.0416666666666667,0.375,17.041666666666668,7.875,6.583333333333333,3.1666666666666665,11.625,12.083333333333334,6.541666666666667,3.5833333333333335,1.9583333333333333,2.8333333333333335,0.0,0.125,0.125,0.20833333333333334,0.6666666666666666,1.6,0.9,0.8,0.3,16.6,8.2,6.7,3.7,11.7,12.8,6.5,4.1,2.4,2.8,0.0,0.2,0.2,0.3,0.5,1.2,0.2,0.6,0.0,18.0,8.6,6.0,3.8,13.2,12.0,7.0,4.2,2.6,2.4,0.0,0.2,0.0,0.4,0.6,1.9,1.0,1.1,0.4,17.3,8.25,6.5,3.4,11.85,12.1,6.25,3.9,2.1,2.85,0.0,0.15,0.15,0.2,0.65,1.6,0.9,0.8,0.3,16.6,8.2,6.7,3.7,11.7,12.8,6.5,4.1,2.4,2.8,0.0,0.2,0.2,0.3,0.5,1.2,0.2,0.6,0.0,18.0,8.6,6.0,3.8,13.2,12.0,7.0,4.2,2.6,2.4,0.0,0.2,0.0,0.4,0.6
Standard,1.1428571428571428,0.7857142857142857,0.4642857142857143,0.32142857142857145,13.5,10.321428571428571,4.75,4.035714285714286,10.857142857142858,13.321428571428571,5.142857142857143,4.392857142857143,1.5,2.0357142857142856,0.03571428571428571,0.10714285714285714,0.21428571428571427,0.35714285714285715,0.42857142857142855,1.3,0.7,0.5,0.3,14.4,10.7,4.6,3.9,8.7,10.7,5.6,5.4,1.0,1.5,0.0,0.2,0.1,0.4,0.5,0.8,1.0,0.2,0.4,13.4,13.0,3.4,4.4,8.2,8.6,4.2,5.8,0.4,1.4,0.0,0.2,0.2,0.4,0.4,1.1,0.75,0.4,0.35,13.3,10.15,4.35,3.9,10.0,13.65,5.2,4.4,1.15,1.95,0.0,0.15,0.15,0.45,0.4,1.3,0.7,0.5,0.3,14.4,10.7,4.6,3.9,8.7,10.7,5.6,5.4,1.0,1.5,0.0,0.2,0.1,0.4,0.5,0.8,1.0,0.2,0.4,13.4,13.0,3.4,4.4,8.2,8.6,4.2,5.8,0.4,1.4,0.0,0.2,0.2,0.4,0.4
